time,cart_pos,pend_pos,cart_vel,pend_vel,force
4.900519847869873047e-01,1.893469921874999795e-01,2.983592632437571890e+00,1.384217368709629303e-01,3.220901972528287249e+00,-3.472435017983403149e+00
5.000529289245605469e-01,1.902774999999999606e-01,3.018874190558941795e+00,9.304199680549074536e-02,3.527822737137203735e+00,-3.471249924683349697e+00
5.100538730621337891e-01,1.907087109374999701e-01,3.057223710256082860e+00,4.311702290986339781e-02,3.834589931670859819e+00,-3.467444494122069898e+00
5.200545787811279297e-01,1.907087109374999701e-01,3.098641191528995087e+00,0.000000000000000000e+00,4.141455856885063014e+00,-3.460377830708251334e+00
5.300557613372802734e-01,1.903455859374999781e-01,3.140058672801907313e+00,-3.630820635071912994e-02,4.141258400231258463e+00,-3.462017969658756300e+00
5.400567054748535156e-01,1.896647265624999690e-01,-3.098641191528995087e+00,-6.807950985767846630e-02,4.448124320738217286e+00,-3.447747592186281018e+00
5.500574111938476562e-01,1.886661328124999704e-01,-3.054155748680311699e+00,-9.985232823153564197e-02,4.448230364802463477e+00,-3.442607627787391156e+00
5.600581169128417969e-01,1.874178906249999721e-01,-3.008136325043742509e+00,-1.248154102894195594e-01,4.601617618761185469e+00,-3.426963746063404148e+00
5.700588226318359375e-01,1.859199999999999742e-01,-2.962116901407172875e+00,-1.497784923473034768e-01,4.601617618761229878e+00,-3.414256719766033843e+00
5.800600051879882812e-01,1.841724609374999766e-01,-2.916097477770603685e+00,-1.747332430628394662e-01,4.601398222479181399e+00,-3.397867324036754511e+00
5.900609493255615234e-01,1.822206640624999818e-01,-2.870078054134034495e+00,-1.951612615920084448e-01,4.601507918005022901e+00,-3.377806079636532566e+00
6.000616550445556641e-01,1.800419140624999748e-01,-2.824058630497465305e+00,-2.178596252324424276e-01,4.601617618761185469e+00,-3.354129975573794553e+00
6.100625991821289062e-01,1.776589062499999705e-01,-2.779573187648781918e+00,-2.382782845018718287e-01,4.448124320738172877e+00,-3.334519020262805444e+00
6.200633049011230469e-01,1.750489453124999817e-01,-2.735087744800098086e+00,-2.609776760596946854e-01,4.448230364802507886e+00,-3.304964099427145641e+00
6.300642490386962891e-01,1.723028124999999855e-01,-2.692136282739300057e+00,-2.745873564259657118e-01,4.294740723471366373e+00,-3.279810432671466991e+00
6.400649547576904297e-01,1.693978124999999668e-01,-2.649184820678502472e+00,-2.904795003099241435e-01,4.294843110843740597e+00,-3.245274018992126308e+00
6.500656604766845703e-01,1.663339453124999812e-01,-2.609301320193475604e+00,-3.063650979831197274e-01,3.988068602926384543e+00,-3.222811330158894094e+00
6.600663661956787109e-01,1.631112109374999730e-01,-2.569417819708449180e+00,-3.222506956563208624e-01,3.988068602926340134e+00,-3.185736540115746696e+00
6.700673103332519531e-01,1.597523046874999852e-01,-2.532602280799193473e+00,-3.358589152978746495e-01,3.681206334404053759e+00,-3.160693179920544882e+00
6.800680160522460938e-01,1.562345312499999750e-01,-2.497320722677823568e+00,-3.517525199065475450e-01,3.527906841050261644e+00,-3.129329172990944485e+00
6.900689601898193359e-01,1.526259765624999876e-01,-2.463573145344339466e+00,-3.608214022456897596e-01,3.374439139870353266e+00,-3.097688461990218745e+00
7.000701427459716797e-01,1.488585546874999777e-01,-2.432893529586626968e+00,-3.766976408887203753e-01,3.067598814986091327e+00,-3.072419595406777226e+00
7.100710868835449219e-01,1.449549609374999881e-01,-2.403747894616799829e+00,-3.903225231840168896e-01,2.914288348069846268e+00,-3.042634144682056174e+00
7.200720310211181641e-01,1.409378906249999786e-01,-2.377670221222743852e+00,-4.016691081602984936e-01,2.607521153536190184e+00,-3.019226622214047140e+00
7.300729751586914062e-01,1.367392578124999869e-01,-2.354660509404459034e+00,-4.198236441223440196e-01,2.300753959002533655e+00,-2.997902636378585672e+00
7.400736808776855469e-01,1.324498437499999903e-01,-2.334718759161945822e+00,-4.289111371763692504e-01,1.994034301463170067e+00,-2.978944747987660957e+00
7.500746250152587891e-01,1.279788671874999839e-01,-2.316310989707318413e+00,-4.470554480654165275e-01,1.840603167201982471e+00,-2.958002969788679604e+00
7.600769996643066406e-01,1.234171093749999865e-01,-2.300971181828461720e+00,-4.560674812289940983e-01,1.533616607763929718e+00,-2.942855777585648536e+00
7.700777053833007812e-01,1.187418749999999829e-01,-2.288699335525376632e+00,-4.674904458112815187e-01,1.227098031669646483e+00,-2.930621631389792814e+00
7.800784111022949219e-01,1.139077734374999845e-01,-2.279495450798062706e+00,-4.833760434844798781e-01,9.203235237522460199e-01,-2.921446313774228365e+00
7.900793552398681641e-01,1.089828906249999813e-01,-2.273359527646520384e+00,-4.924417879705345613e-01,6.135343890673127243e-01,-2.915425590405548828e+00
8.000802993774414062e-01,1.039218359374999845e-01,-2.268757585282862976e+00,-5.060576899420694552e-01,4.601507918005511288e-01,-2.909979152969803806e+00
8.100812435150146484e-01,9.874730468749998158e-02,-2.268757585282862976e+00,-5.174042749183496159e-01,0.000000000000000000e+00,2.910994397934031586e+00
8.200821876525878906e-01,9.366355468749998359e-02,-2.273359527646520384e+00,-5.083270069373254652e-01,-4.601507918005511288e-01,2.916215225377725595e+00
8.300828933715820312e-01,8.907910156249998490e-02,-2.282563412373834311e+00,-4.584129614265959884e-01,-9.203235237522460199e-01,2.925568557579644402e+00
8.400838375091552734e-01,8.483507812499999079e-02,-2.293301277889033596e+00,-4.243622781128560950e-01,-1.073685180867819389e+00,2.938444088774684104e+00
8.500845432281494141e-01,8.102226562499999230e-02,-2.310175066555775647e+00,-3.812543441567728397e-01,-1.687259793545769604e+00,2.952584978789534631e+00
8.600854873657226562e-01,7.766335937499999065e-02,-2.331650797586174662e+00,-3.358589152978760373e-01,-2.147370361735683186e+00,2.971968083116995452e+00
8.700861930847167969e-01,7.466757812499999480e-02,-2.356194490192344837e+00,-2.995569846946069537e-01,-2.454196063339292966e+00,2.996327981762481496e+00
8.800871372222900391e-01,7.221648437499998685e-02,-2.386874105950057778e+00,-2.450862354876399696e-01,-3.067671945336696737e+00,3.017933803003549631e+00
8.900880813598632812e-01,7.012851562499998470e-02,-2.420621683283541881e+00,-2.087771635635446987e-01,-3.374439139870353266e+00,3.048686745877775994e+00
9.000892639160156250e-01,6.849445312499999328e-02,-2.458971202980682946e+00,-1.633869285782388603e-01,-3.834498518732658567e+00,3.076656346464535119e+00
9.100899696350097656e-01,6.731429687499998482e-02,-2.501922665041480975e+00,-1.180072970009067718e-01,-4.294843110843785006e+00,3.105445666069612365e+00
9.200909137725830078e-01,6.658804687499998709e-02,-2.547942088678049721e+00,-7.261814384818915391e-02,-4.601507918004978492e+00,3.139523100472499717e+00
9.300916194915771484e-01,6.629300781249998498e-02,-2.598563454678275875e+00,-2.950182425022669294e-02,-5.061779380637308812e+00,3.166475492079802390e+00
9.400925636291503906e-01,6.638378906249998990e-02,-2.653786763042159436e+00,9.077267981024164656e-03,-5.521809501606081305e+00,3.191360900765483066e+00
9.500935077667236328e-01,6.688308593749998920e-02,-2.712078032981813713e+00,4.992497389563013005e-02,-5.828576696139692537e+00,3.220394829447685847e+00
9.600946903228759766e-01,6.770011718749999186e-02,-2.771903283709353794e+00,8.169346428912012403e-02,-5.981817689222949319e+00,3.252957302428738817e+00
9.700956344604492188e-01,6.890296874999998766e-02,-2.836330476800550393e+00,1.202738007485632393e-01,-6.442111085207005594e+00,3.263334393951899948e+00
9.800963401794433594e-01,7.040085937499998558e-02,-2.903825631467518598e+00,1.497784923473034768e-01,-6.749039174183078416e+00,3.275993710214483823e+00
9.900972843170166016e-01,7.217109374999998439e-02,-2.972854766922372605e+00,1.770067256299615033e-01,-6.902261877007556556e+00,3.290652263051456750e+00
1.000097990036010742e+00,7.423636718749998531e-02,-3.043417883165111970e+00,2.065127697515854732e-01,-7.055813682100478879e+00,3.297010954599761234e+00
1.010098695755004883e+00,7.655128906249998588e-02,-3.115514980195737138e+00,2.314758518094693629e-01,-7.209200936059201759e+00,3.294450329915187492e+00
1.020099639892578125e+00,7.911585937499998611e-02,3.094039249165338124e+00,2.564328204639187980e-01,-7.362412668808107519e+00,3.282344965747814758e+00
1.030100584030151367e+00,8.188468749999998353e-02,3.020408171346827597e+00,2.768566734212217773e-01,-7.362412668808018701e+00,3.271351749266051545e+00
1.040102243423461914e+00,8.485777343749999202e-02,2.945243112740430824e+00,2.972592667461271820e-01,-7.515258783624419792e+00,3.239394023046381577e+00
