time,cart_pos,pend_pos,cart_vel,pend_vel,torque
2.020000000000000018e+00,2.791332932476593763e-04,3.142172130819183007e+00,-6.907790876373183086e-05,6.829417203066657192e-03,3.484096740373211418e-03
2.040000000000000036e+00,2.777517350723847605e-04,3.142308719163244390e+00,1.179486574935254071e-05,6.270462670765386028e-03,3.391320606222838173e-03
2.060000000000000053e+00,2.779876323873717910e-04,3.142434128416659700e+00,8.529089872901100312e-05,5.560818333160318268e-03,9.749325556809032784e-04
2.080000000000000071e+00,2.796934503619520162e-04,3.142545344783322925e+00,1.098535366882838683e-04,4.715037478518874746e-03,1.019748122898915532e-02
2.100000000000000089e+00,2.818905210957177096e-04,3.142639645532893322e+00,3.006839271433262451e-04,3.767409544662387449e-03,-2.632197864687781629e-03
2.120000000000000107e+00,2.879041996385842150e-04,3.142714993723786598e+00,2.420450003950305566e-04,2.665523392680418935e-03,2.077243143669853676e-03
2.140000000000000124e+00,2.927450996464848196e-04,3.142768304191640105e+00,2.754587161438263872e-04,1.530823866120921894e-03,7.610794815483708058e-03
2.160000000000000142e+00,2.982542739693613246e-04,3.142798920668962381e+00,4.064660009323918261e-04,3.454880699250300908e-04,9.925325961458409882e-03
2.180000000000000160e+00,3.063835939880091394e-04,3.142805830430360992e+00,5.668647934076035452e-04,-9.098377820535180106e-04,9.274777945153750078e-03
2.200000000000000178e+00,3.177208898561612103e-04,3.142787633674720027e+00,6.996957410109300949e-04,-2.225286586008723248e-03,2.150189499834726653e-02
2.220000000000000195e+00,3.317148046763798252e-04,3.142743127943000037e+00,1.040323793577740529e-03,-3.566304919422660577e-03,-1.288361430102334670e-02
2.240000000000000213e+00,3.525212805479346640e-04,3.142671801844611590e+00,7.242258882488031768e-04,-4.994785595750610152e-03,-1.107708495762250262e-03
2.260000000000000231e+00,3.670057983129107319e-04,3.142571906132696657e+00,6.507202146918137286e-04,-6.214870396529631122e-03,1.084243096436825204e-02
2.280000000000000249e+00,3.800202026067469826e-04,3.142447608724765917e+00,7.988026240264122901e-04,-7.302932332383427899e-03,5.947344932379992899e-03
2.300000000000000266e+00,3.959962550872752176e-04,3.142301550078118400e+00,8.414997082095326862e-04,-8.329728022226590145e-03,2.021183045982355257e-03
2.319999999999999840e+00,4.128262492514658561e-04,3.142134955517673855e+00,8.062949149232038646e-04,-9.232836320295341806e-03,-1.934437854765543030e-02
2.339999999999999858e+00,4.289521475499299247e-04,3.141950298791267748e+00,3.847978685973341226e-04,-9.962922178944986357e-03,3.464776619543148695e-03
2.359999999999999876e+00,4.366481049218766180e-04,3.141751040347688928e+00,4.141258753825501353e-04,-1.034604879508924276e-02,-1.643708170373901073e-02
2.379999999999999893e+00,4.449306224295276348e-04,3.141544119371787236e+00,7.689176292512405614e-05,-1.055845868757239632e-02,1.458232391525737977e-02
2.399999999999999911e+00,4.464684576880301029e-04,3.141332950198035601e+00,3.305828306397971795e-04,-1.044366039381436871e-02,2.482929960312979783e-03
2.419999999999999929e+00,4.530801143008260389e-04,3.141124076990159164e+00,3.369072598236811842e-04,-1.024477929799971938e-02,5.234306239411313892e-03
