time,cart_pos,pend_pos,cart_vel,pend_vel,force
3.805179595947265625e-01,1.531479687499999742e-01,2.702874148254499787e+00,7.343483644848669556e-01,-6.127747569753224655e-01,1.750196688817132307e+00
3.905315399169921875e-01,1.604785546874999691e-01,2.699806186678728626e+00,7.320644266666661570e-01,-3.063800835500781750e-01,1.432583610568033405e+00
4.005453586578369141e-01,1.677410546874999742e-01,2.698272205890842823e+00,7.252477988619323579e-01,-1.531863944799546073e-01,1.097650514753139905e+00
4.105589389801025391e-01,1.748673828124999718e-01,2.699806186678728626e+00,7.116663466666663940e-01,1.531900417750612642e-01,7.555751211520649324e-01
4.205727577209472656e-01,1.818575390624999621e-01,2.702874148254499787e+00,6.980510064046084873e-01,3.063727889598648613e-01,3.909292679406754512e-01
4.305863380432128906e-01,1.886434374999999830e-01,2.709010071406042108e+00,6.776695466666687873e-01,6.127601671001563499e-01,3.491575096064380990e-02
4.405999183654785156e-01,1.952477734374999663e-01,2.718213956133356035e+00,6.595379199999983344e-01,9.191402506502788228e-01,-3.408167043840763522e-01
4.506137371063232422e-01,2.016251562499999650e-01,2.730485802436441123e+00,6.368582233756338029e-01,1.225491155839503632e+00,-7.156111766188745227e-01
4.606273174285888672e-01,2.077301953124999767e-01,2.745825610315297816e+00,6.096759466666678007e-01,1.531900417750479582e+00,-1.106401419251573870e+00
4.706406593322753906e-01,2.135401953124999586e-01,2.764233379769925225e+00,5.802258682349561436e-01,1.838324270926011694e+00,-1.500597731848676286e+00
4.806547164916992188e-01,2.190097656249999636e-01,2.785709110800324240e+00,5.461892443216994630e-01,2.144558463019063499e+00,-1.895990761223699472e+00
4.906685352325439453e-01,2.240708203124999742e-01,2.810252803406494415e+00,5.054070598319098107e-01,2.450982311679007264e+00,-2.295838769083057063e+00
5.006825923919677734e-01,2.287460546874999778e-01,2.837864457588436196e+00,4.668671548973861718e-01,2.757289452453100864e+00,-2.695852369738893195e+00
5.106952190399169922e-01,2.330127734374999593e-01,2.868544073346149137e+00,4.261338108391256596e-01,3.064092653848900394e+00,-3.087900849982688101e+00
5.207090377807617188e-01,2.367801953124999692e-01,2.903825631467518598e+00,3.762222956596281143e-01,3.523287073038556372e+00,-3.463811603303435405e+00
5.307288169860839844e-01,2.400483203124999798e-01,2.940641170376774305e+00,3.261673668681303040e-01,3.674286444326056333e+00,-3.849544574979725908e+00
5.407361984252929688e-01,2.427944531249999760e-01,2.982058651649686531e+00,2.744107266403007506e-01,4.138693176082833602e+00,-4.189774302210483192e+00
5.507500171661376953e-01,2.449732031249999553e-01,3.026544094498369919e+00,2.175743396585775036e-01,4.442405439918195142e+00,-4.536383217817570035e+00
5.607631206512451172e-01,2.465618749999999582e-01,3.074097498922824911e+00,1.586592885375496809e-01,4.749117443476100320e+00,-4.832108524438758934e+00
5.707774162292480469e-01,2.475604687499999568e-01,3.124718864923051065e+00,9.971682403637821546e-02,5.054910313554092482e+00,-5.113276174796343554e+00
5.807907581329345703e-01,2.479462890624999638e-01,3.184544115650591145e+00,3.853062406247838301e-02,5.974553880509637871e+00,-5.335531464982015137e+00
5.908043384552001953e-01,2.476739453124999768e-01,3.241301404802359620e+00,-2.719743999999870224e-02,5.668031545676646132e+00,-5.551570090271860103e+00
6.008176803588867188e-01,2.469476953124999652e-01,3.299592674742014342e+00,-7.252823352937090573e-02,5.821360191265829265e+00,-5.751140449493183482e+00
6.108322143554687500e-01,2.457902343749999718e-01,3.359417925469553978e+00,-1.155781125607078380e-01,5.973842691827502271e+00,-5.868865625469304348e+00
6.208455562591552734e-01,2.442469531249999715e-01,3.419243176197094058e+00,-1.541224962499107565e-01,5.974553880509637871e+00,-5.969487274624604822e+00
6.308593750000000000e-01,2.423178515624999640e-01,3.480602407712519941e+00,-1.926439465727013967e-01,6.127455779197562791e+00,-6.000000000000000000e+00
6.408727169036865234e-01,2.400483203124999798e-01,3.540427658440060021e+00,-2.266507297792788866e-01,5.974553880509637871e+00,-6.000000000000000000e+00
6.508858203887939453e-01,2.374837499999999657e-01,3.600252909167599658e+00,-2.561214229249025864e-01,5.974696138566655712e+00,-6.000000000000000000e+00
6.608991622924804688e-01,2.346241406249999772e-01,3.660078159895139738e+00,-2.855799195218922115e-01,5.974553880509637871e+00,-5.959184856453032531e+00
6.709129810333251953e-01,2.314694921874999589e-01,3.718369429834794460e+00,-3.150295126306534854e-01,5.821082990237697707e+00,-5.884038112972941548e+00
6.809267997741699219e-01,2.280424999999999813e-01,3.775126718986562935e+00,-3.422263050879718604e-01,5.667896595757698996e+00,-5.793148784102174709e+00
6.909403800964355469e-01,2.243658593749999763e-01,3.830350027350446052e+00,-3.671654400000005092e-01,5.514841503901628528e+00,-5.650525487778054412e+00
7.009541988372802734e-01,2.204622656249999590e-01,3.882505374138557563e+00,-3.898206918882901051e-01,5.208337412317879611e+00,-5.514256900071920597e+00
7.109677791595458984e-01,2.163090234374999699e-01,3.933126740138783717e+00,-4.147609599999989016e-01,5.055271378576489560e+00,-5.349124625641236364e+00
7.209813594818115234e-01,2.119742187499999708e-01,3.980680144563238709e+00,-4.328925866666665789e-01,4.748891295026410830e+00,-5.183624380199888471e+00
