time,cart_pos,pend_pos,cart_vel,pend_vel,force
3.700022697448730469e-01,1.515139062499999689e-01,2.672194532496786845e+00,7.421374265074028864e-01,-1.073787575563605046e+00,2.570635906813959259e+00
3.800020217895507812e-01,1.597296093749999701e-01,2.662990647769472918e+00,8.215906842782891850e-01,-9.204112948193150512e-01,2.222512894947006323e+00
3.900020122528076172e-01,1.678772265624999815e-01,2.656854724617930597e+00,8.147624957680673630e-01,-6.135929003220219613e-01,1.909816240719674818e+00
4.000024795532226562e-01,1.759340624999999880e-01,2.652252782254273633e+00,8.056459458815121710e-01,-4.601727324748088321e-01,1.552343534284096105e+00
4.100024700164794922e-01,1.839228124999999769e-01,2.650718801466387831e+00,7.988757618672950311e-01,-1.533982250805276948e-01,1.208493895883303804e+00
4.200022220611572266e-01,1.918207812499999609e-01,2.652252782254273633e+00,7.898164589194586194e-01,1.534018824699006356e-01,8.440180735177791327e-01
4.300026893615722656e-01,1.995598828124999780e-01,2.655320743830044794e+00,7.738739930861859850e-01,3.067818216498577333e-01,4.526525528113999886e-01
4.400031566619873047e-01,2.070947265624999700e-01,2.661456666981587560e+00,7.534491662891874553e-01,6.135636432997598755e-01,7.583481866895136481e-02
4.500031471252441406e-01,2.144026171874999775e-01,2.670660551708901487e+00,7.307897594354250126e-01,9.203893504830773509e-01,-3.303612870568652382e-01
4.600028991699218750e-01,2.214835546874999728e-01,2.684466378799871933e+00,7.081113079967569224e-01,1.380616942228928279e+00,-7.218639304879208574e-01
4.700026512145996094e-01,2.282694531249999659e-01,2.699806186678728626e+00,6.786066701635584675e-01,1.534018824698873296e+00,-1.151743248626950322e+00
4.800028800964355469e-01,2.347603124999999569e-01,2.718213956133356035e+00,6.490710814419217156e-01,1.840734814386361773e+00,-1.581073792103420805e+00
4.900028705596923828e-01,2.409107421874999710e-01,2.741223667951640852e+00,6.150435553012435497e-01,2.300973376207693377e+00,-1.993650346245438909e+00
5.000028610229492188e-01,2.466526562499999631e-01,2.767301341345696830e+00,5.741919538421182967e-01,2.607769826368704358e+00,-2.427353627767359079e+00
5.100028514862060547e-01,2.519860546874999607e-01,2.796446976315523969e+00,5.333403523829957082e-01,2.914566276529715338e+00,-2.861956060893093401e+00
5.200028419494628906e-01,2.568201562499999868e-01,2.830194553649008071e+00,4.834106172662925860e-01,3.374760951771254014e+00,-3.273745328170792668e+00
