time,cart_pos,pend_pos,cart_vel,pend_vel,force
4.906685352325439453e-01,2.301077734374999684e-01,2.808718822618609057e+00,5.167513600000003260e-01,2.604230710175775343e+00,-2.295701773080434105e+00
5.006821155548095703e-01,2.348510937499999618e-01,2.836330476800550393e+00,4.736887466666659940e-01,2.757420751950792059e+00,-2.705788147691521317e+00
5.106954574584960938e-01,2.391858984374999608e-01,2.868544073346149137e+00,4.329028938784255653e-01,3.217067474120598014e+00,-3.086651829500532962e+00
5.207087993621826172e-01,2.430214062499999605e-01,2.903825631467518598e+00,3.830397333269839333e-01,3.523454852608214782e+00,-3.472931905648695583e+00
5.307223796844482422e-01,2.463576171874999610e-01,2.943709131952545466e+00,3.331686400000000159e-01,3.982941086151193577e+00,-3.838153425108998373e+00
5.407359600067138672e-01,2.491037499999999572e-01,2.985126613225457692e+00,2.742408533333329790e-01,4.136131127926210738e+00,-4.194802506337742543e+00
5.507500171661376953e-01,2.513278906249999389e-01,3.031146036862026882e+00,2.221018503880749506e-01,4.595482420755123698e+00,-4.533920138149222900e+00
5.607640743255615234e-01,2.529619531249999720e-01,3.080233422074367677e+00,1.631768696728760348e-01,4.901847915472163919e+00,-4.829363391861081212e+00
5.707778930664062500e-01,2.539605468749999706e-01,3.132388768862479189e+00,9.972157234351548827e-02,5.208337412317879611e+00,-5.108574194984949912e+00
5.807905197143554688e-01,2.543463671874999776e-01,3.187612077226362306e+00,3.853337651204946646e-02,5.515366776928003034e+00,-5.362268521629419027e+00
5.908041000366210938e-01,2.541874999999999551e-01,3.238233443226588459e+00,-1.586517333333557767e-02,5.055271378576489560e+00,-5.591552078489239186e+00
6.008179187774658203e-01,2.535747265624999636e-01,3.298058693954128540e+00,-6.119278302897465660e-02,5.974269384717608489e+00,-5.756043377547282347e+00
6.108312606811523438e-01,2.525307421874999902e-01,3.357883944681668620e+00,-1.042593356984663489e-01,5.974553880509637871e+00,-5.880448389337793458e+00
6.208453178405761719e-01,2.511236328124999417e-01,3.419243176197094058e+00,-1.405134155516452321e-01,6.127309894340149832e+00,-5.974748107549452847e+00
6.308586597442626953e-01,2.493987890624999593e-01,3.479068426924634139e+00,-1.722545546322513943e-01,5.974553880509637871e+00,-6.000000000000000000e+00
6.408720016479492188e-01,2.473108203124999571e-01,3.540427658440060021e+00,-2.085186713969382488e-01,6.127747569753489998e+00,-6.000000000000000000e+00
6.508865356445312500e-01,2.449051171874999655e-01,3.601786889955485460e+00,-2.402211751261776329e-01,6.127018145464122156e+00,-6.000000000000000000e+00
6.609001159667968750e-01,2.422043749999999718e-01,3.661612140683025540e+00,-2.697079466666660319e-01,5.974411629226768383e+00,-5.971612896680913884e+00
6.709134578704833984e-01,2.392085937499999759e-01,3.719903410622679818e+00,-2.991789633086497924e-01,5.821360191265784856e+00,-5.896593633785975896e+00
6.809267997741699219e-01,2.359631640624999804e-01,3.776660699774448737e+00,-3.241105435843705806e-01,5.668166502021976250e+00,-5.806539974683785132e+00
6.909420490264892578e-01,2.324907812499999726e-01,3.831884008138331410e+00,-3.467095750708222845e-01,5.513922516815448205e+00,-5.664820982559611195e+00
7.009541988372802734e-01,2.287460546874999778e-01,3.885573335714329168e+00,-3.740182311758817324e-01,5.362417521772579576e+00,-5.520546920700862614e+00
7.109675407409667969e-01,2.243885546874999637e-01,3.940796644078212285e+00,-4.351694011762198833e-01,5.514972812778123235e+00,-5.331224292384771246e+00
