q11,q22,r,Vol
6.400000000000000355e+00,4.599999999999999645e+00,1.000000000000000000e+00,6.842791597996938435e+02
8.199999999999999289e+00,4.599999999999999645e+00,1.000000000000000056e-01,5.152580709005344062e+01
8.199999999999999289e+00,4.599999999999999645e+00,2.800000000000000266e-01,1.932376655375794883e+02
8.199999999999999289e+00,4.599999999999999645e+00,4.599999999999999645e-01,3.510112906631530905e+02
8.199999999999999289e+00,4.599999999999999645e+00,6.400000000000000133e-01,5.215297132386291423e+02
8.199999999999999289e+00,4.599999999999999645e+00,8.199999999999999512e-01,7.027961593922257180e+02
8.199999999999999289e+00,4.599999999999999645e+00,1.000000000000000000e+00,7.737265739439259278e+02
1.000000000000000000e+01,4.599999999999999645e+00,1.000000000000000056e-01,4.903954665444161520e+01
1.000000000000000000e+01,4.599999999999999645e+00,2.800000000000000266e-01,1.962383325149852453e+02
1.000000000000000000e+01,4.599999999999999645e+00,4.599999999999999645e-01,3.596502046829521078e+02
1.000000000000000000e+01,4.599999999999999645e+00,6.400000000000000133e-01,5.225388321855990625e+02
1.000000000000000000e+01,4.599999999999999645e+00,8.199999999999999512e-01,6.392161527147439983e+02
1.000000000000000000e+01,4.599999999999999645e+00,1.000000000000000000e+00,7.634670095192377630e+02
1.000000000000000000e+00,6.400000000000000355e+00,1.000000000000000056e-01,5.793605576401654389e+01
1.000000000000000000e+00,6.400000000000000355e+00,2.800000000000000266e-01,1.689803509032796001e+02
1.000000000000000000e+00,6.400000000000000355e+00,4.599999999999999645e-01,2.959177038113741673e+02
1.000000000000000000e+00,6.400000000000000355e+00,6.400000000000000133e-01,4.360823858206815657e+02
1.000000000000000000e+00,6.400000000000000355e+00,8.199999999999999512e-01,5.873473556624051071e+02
1.000000000000000000e+00,6.400000000000000355e+00,1.000000000000000000e+00,7.489977017630159253e+02
2.799999999999999822e+00,6.400000000000000355e+00,1.000000000000000056e-01,5.648237801779232115e+01
2.799999999999999822e+00,6.400000000000000355e+00,2.800000000000000266e-01,1.730605537886110312e+02
2.799999999999999822e+00,6.400000000000000355e+00,4.599999999999999645e-01,3.036754014057243012e+02
2.799999999999999822e+00,6.400000000000000355e+00,6.400000000000000133e-01,4.471068906098918774e+02
2.799999999999999822e+00,6.400000000000000355e+00,8.199999999999999512e-01,6.012403807431380756e+02
2.799999999999999822e+00,6.400000000000000355e+00,1.000000000000000000e+00,7.651079709903820003e+02
4.599999999999999645e+00,6.400000000000000355e+00,1.000000000000000056e-01,5.430197395607837763e+01
4.599999999999999645e+00,6.400000000000000355e+00,2.800000000000000266e-01,1.753475846501411013e+02
4.599999999999999645e+00,6.400000000000000355e+00,4.599999999999999645e-01,3.100941894143239210e+02
4.599999999999999645e+00,6.400000000000000355e+00,6.400000000000000133e-01,4.570172133989099734e+02
4.599999999999999645e+00,6.400000000000000355e+00,8.199999999999999512e-01,6.141192522983982371e+02
4.599999999999999645e+00,6.400000000000000355e+00,1.000000000000000000e+00,6.282476979614076527e+02
6.400000000000000355e+00,6.400000000000000355e+00,1.000000000000000056e-01,5.204099928180107781e+01
6.400000000000000355e+00,6.400000000000000355e+00,2.800000000000000266e-01,1.767405430675968603e+02
6.400000000000000355e+00,6.400000000000000355e+00,4.599999999999999645e-01,3.152609938771038287e+02
6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000133e-01,4.657431028705503309e+02
6.400000000000000355e+00,6.400000000000000355e+00,8.199999999999999512e-01,6.260212353823867488e+02
6.400000000000000355e+00,6.400000000000000355e+00,1.000000000000000000e+00,7.952969817843871851e+02
8.199999999999999289e+00,6.400000000000000355e+00,1.000000000000000056e-01,4.941706208443297044e+01
8.199999999999999289e+00,6.400000000000000355e+00,2.800000000000000266e-01,1.780246773578137436e+02
8.199999999999999289e+00,6.400000000000000355e+00,4.599999999999999645e-01,3.201913328025142391e+02
8.199999999999999289e+00,6.400000000000000355e+00,6.400000000000000133e-01,4.739330967067069764e+02
8.199999999999999289e+00,6.400000000000000355e+00,8.199999999999999512e-01,6.372077145491006149e+02
8.199999999999999289e+00,6.400000000000000355e+00,1.000000000000000000e+00,7.997223701435999601e+02
1.000000000000000000e+01,6.400000000000000355e+00,1.000000000000000056e-01,4.703173417097693942e+01
1.000000000000000000e+01,6.400000000000000355e+00,2.800000000000000266e-01,1.789200168661465113e+02
1.000000000000000000e+01,6.400000000000000355e+00,4.599999999999999645e-01,3.246283070106859441e+02
1.000000000000000000e+01,6.400000000000000355e+00,6.400000000000000133e-01,4.294466517349546848e+02
1.000000000000000000e+01,6.400000000000000355e+00,8.199999999999999512e-01,6.484254499285511883e+02
1.000000000000000000e+01,6.400000000000000355e+00,1.000000000000000000e+00,7.403666429626343870e+02
1.000000000000000000e+00,8.199999999999999289e+00,1.000000000000000056e-01,5.829353408847990892e+01
1.000000000000000000e+00,8.199999999999999289e+00,2.800000000000000266e-01,1.649234167529556032e+02
1.000000000000000000e+00,8.199999999999999289e+00,4.599999999999999645e-01,2.844199960908571825e+02
1.000000000000000000e+00,8.199999999999999289e+00,6.400000000000000133e-01,4.156342019842336413e+02
1.000000000000000000e+00,8.199999999999999289e+00,8.199999999999999512e-01,5.568126060238988657e+02
1.000000000000000000e+00,8.199999999999999289e+00,1.000000000000000000e+00,7.066433110462521654e+02
2.799999999999999822e+00,8.199999999999999289e+00,1.000000000000000056e-01,5.631441283812688425e+01
2.799999999999999822e+00,8.199999999999999289e+00,2.800000000000000266e-01,1.679077567845308181e+02
2.799999999999999822e+00,8.199999999999999289e+00,4.599999999999999645e-01,2.905426890172795993e+02
2.799999999999999822e+00,8.199999999999999289e+00,6.400000000000000133e-01,4.245912481868053305e+02
2.799999999999999822e+00,8.199999999999999289e+00,8.199999999999999512e-01,5.682243753758822322e+02
2.799999999999999822e+00,8.199999999999999289e+00,1.000000000000000000e+00,7.201092463978661726e+02
4.599999999999999645e+00,8.199999999999999289e+00,1.000000000000000056e-01,5.377199604895911733e+01
4.599999999999999645e+00,8.199999999999999289e+00,2.800000000000000266e-01,1.692217905554518325e+02
4.599999999999999645e+00,8.199999999999999289e+00,4.599999999999999645e-01,2.954076167706338083e+02
4.599999999999999645e+00,8.199999999999999289e+00,6.400000000000000133e-01,4.323186025647612496e+02
4.599999999999999645e+00,8.199999999999999289e+00,8.199999999999999512e-01,5.784553165595225437e+02
4.599999999999999645e+00,8.199999999999999289e+00,1.000000000000000000e+00,7.220191421208431848e+02
6.400000000000000355e+00,8.199999999999999289e+00,1.000000000000000056e-01,5.124302327275121627e+01
6.400000000000000355e+00,8.199999999999999289e+00,2.800000000000000266e-01,1.695073435167895184e+02
6.400000000000000355e+00,8.199999999999999289e+00,4.599999999999999645e-01,2.990954911585261584e+02
6.400000000000000355e+00,8.199999999999999289e+00,6.400000000000000133e-01,4.385993936884727873e+02
6.400000000000000355e+00,8.199999999999999289e+00,8.199999999999999512e-01,5.881877364831523209e+02
6.400000000000000355e+00,8.199999999999999289e+00,1.000000000000000000e+00,7.449970825146345987e+02
8.199999999999999289e+00,8.199999999999999289e+00,1.000000000000000056e-01,4.853275321053494196e+01
8.199999999999999289e+00,8.199999999999999289e+00,2.800000000000000266e-01,1.695525570694164799e+02
8.199999999999999289e+00,8.199999999999999289e+00,4.599999999999999645e-01,3.022454646610639770e+02
8.199999999999999289e+00,8.199999999999999289e+00,6.400000000000000133e-01,4.448525790585713366e+02
8.199999999999999289e+00,8.199999999999999289e+00,8.199999999999999512e-01,5.967381393643935326e+02
8.199999999999999289e+00,8.199999999999999289e+00,1.000000000000000000e+00,7.558328274194124106e+02
1.000000000000000000e+01,8.199999999999999289e+00,1.000000000000000056e-01,4.610433490688040337e+01
1.000000000000000000e+01,8.199999999999999289e+00,2.800000000000000266e-01,1.693624909203339826e+02
1.000000000000000000e+01,8.199999999999999289e+00,4.599999999999999645e-01,3.050694967911026083e+02
1.000000000000000000e+01,8.199999999999999289e+00,6.400000000000000133e-01,4.506082704976765854e+02
1.000000000000000000e+01,8.199999999999999289e+00,8.199999999999999512e-01,6.046431125578794763e+02
1.000000000000000000e+01,8.199999999999999289e+00,1.000000000000000000e+00,6.774359945505054839e+02
1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000056e-01,5.893326754013324376e+01
1.000000000000000000e+00,1.000000000000000000e+01,2.800000000000000266e-01,1.628339723753311432e+02
1.000000000000000000e+00,1.000000000000000000e+01,4.599999999999999645e-01,2.769758135756975435e+02
1.000000000000000000e+00,1.000000000000000000e+01,6.400000000000000133e-01,4.018307824680941280e+02
1.000000000000000000e+00,1.000000000000000000e+01,8.199999999999999512e-01,5.355975531349521361e+02
1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,6.773781804310693815e+02
2.799999999999999822e+00,1.000000000000000000e+01,1.000000000000000056e-01,5.653259207411264953e+01
2.799999999999999822e+00,1.000000000000000000e+01,2.800000000000000266e-01,1.649404877258697582e+02
2.799999999999999822e+00,1.000000000000000000e+01,4.599999999999999645e-01,2.821211066314763229e+02
2.799999999999999822e+00,1.000000000000000000e+01,6.400000000000000133e-01,4.094183698085969922e+02
2.799999999999999822e+00,1.000000000000000000e+01,8.199999999999999512e-01,5.451806218293412485e+02
2.799999999999999822e+00,1.000000000000000000e+01,1.000000000000000000e+00,6.891423188053329341e+02
4.599999999999999645e+00,1.000000000000000000e+01,1.000000000000000056e-01,5.369138878039284180e+01
4.599999999999999645e+00,1.000000000000000000e+01,2.800000000000000266e-01,1.655469850433862860e+02
4.599999999999999645e+00,1.000000000000000000e+01,4.599999999999999645e-01,2.859564891965807192e+02
4.599999999999999645e+00,1.000000000000000000e+01,6.400000000000000133e-01,4.159336190762696788e+02
4.599999999999999645e+00,1.000000000000000000e+01,8.199999999999999512e-01,5.538963076399968486e+02
4.599999999999999645e+00,1.000000000000000000e+01,1.000000000000000000e+00,6.998100476779375185e+02
6.400000000000000355e+00,1.000000000000000000e+01,1.000000000000000056e-01,5.095075660442502397e+01
6.400000000000000355e+00,1.000000000000000000e+01,2.800000000000000266e-01,1.652277007897508554e+02
6.400000000000000355e+00,1.000000000000000000e+01,4.599999999999999645e-01,2.889300552382118212e+02
6.400000000000000355e+00,1.000000000000000000e+01,6.400000000000000133e-01,4.212359266173870651e+02
6.400000000000000355e+00,1.000000000000000000e+01,8.199999999999999512e-01,5.616957837270864502e+02
